uid,he_score,he_class,pdl1_score,pdl1_class
BLOCK_5|H4,0.46,0,0.48,0
BLOCK_3|F4,0.59,1,0.5,1
BLOCK_2|H6,0.44,0,0.25,0
BLOCK_1|A7,0.47,0,0.4,0
BLOCK_1|D2,0.49,0,0.56,1
BLOCK_5|G1,0.63,1,0.61,1
BLOCK_1|F10,0.44,0,0.45,0
BLOCK_5|B6,0.56,1,0.52,1
BLOCK_2|F9,0.47,0,0.42,0
BLOCK_5|F5,0.48,0,0.58,1
BLOCK_1|B9,0.44,0,0.51,1
BLOCK_1|H7,0.48,0,0.47,0
BLOCK_2|J8,0.6,1,0.47,0
BLOCK_1|I10,0.57,1,0.53,1
BLOCK_1|K1,0.45,0,0.49,0
BLOCK_4|K5,0.43,0,0.5,1
BLOCK_1|E8,0.55,1,0.51,1
BLOCK_3|L9,0.55,1,0.44,0
BLOCK_3|E2,0.51,1,0.48,0
BLOCK_3|D2,0.49,0,0.48,0
BLOCK_2|G9,0.52,1,0.5,1
BLOCK_3|L6,0.49,0,0.47,0
BLOCK_3|J5,0.34,0,0.36,0
BLOCK_4|E2,0.55,1,0.5,1
BLOCK_4|F4,0.41,0,0.47,0
BLOCK_3|K4,0.37,0,0.38,0
BLOCK_3|D5,0.34,0,0.49,0
BLOCK_5|H7,0.46,0,0.43,0
BLOCK_3|J2,0.52,1,0.54,1
BLOCK_5|K5,0.5,1,0.48,0
BLOCK_5|E8,0.46,0,0.51,1
BLOCK_4|D3,0.45,0,0.44,0
BLOCK_4|K2,0.41,0,0.51,1
BLOCK_2|J2,0.5,1,0.54,1
BLOCK_2|F6,0.55,1,0.4,0
BLOCK_5|F3,0.54,1,0.5,1
BLOCK_1|K8,0.58,1,0.49,0
BLOCK_5|H1,0.57,1,0.57,1
BLOCK_4|B2,0.45,0,0.37,0
BLOCK_3|I8,0.49,0,0.43,0
BLOCK_1|G7,0.53,1,0.48,0
BLOCK_2|E1,0.51,1,0.52,1
BLOCK_1|K9,0.34,0,0.43,0
BLOCK_3|A4,0.51,1,0.57,1
BLOCK_1|L5,0.55,1,0.53,1
BLOCK_1|B1,0.35,0,0.46,0
BLOCK_2|I9,0.44,0,0.5,1
BLOCK_5|A5,0.65,1,0.55,1
BLOCK_1|F7,0.5,1,0.4,0
BLOCK_5|I3,0.55,1,0.5,1
BLOCK_2|B8,0.42,0,0.49,0
BLOCK_5|G7,0.43,0,0.47,0
BLOCK_2|G5,0.67,1,0.51,1
BLOCK_3|I3,0.58,1,0.47,0
BLOCK_1|J6,0.53,1,0.41,0
BLOCK_5|E6,0.59,1,0.48,0
BLOCK_3|K7,0.55,1,0.5,1
BLOCK_2|E9,0.43,0,0.53,1
BLOCK_3|I1,0.49,0,0.55,1
BLOCK_1|G4,0.42,0,0.48,0
BLOCK_2|K4,0.38,0,0.38,0
BLOCK_4|E6,0.51,1,0.5,1
BLOCK_1|B3,0.42,0,0.48,0
BLOCK_3|K9,0.58,1,0.5,1
BLOCK_5|K6,0.62,1,0.53,1
BLOCK_2|K5,0.45,0,0.51,1
BLOCK_3|J1,0.45,0,0.45,0
BLOCK_1|L10,0.44,0,0.45,0
BLOCK_3|D10,0.48,0,0.54,1
BLOCK_5|G2,0.43,0,0.38,0
BLOCK_1|K2,0.48,0,0.49,0
BLOCK_5|L6,0.66,1,0.57,1
BLOCK_1|E9,0.39,0,0.42,0
BLOCK_2|F2,0.52,1,0.49,0
BLOCK_5|I9,0.48,0,0.47,0
BLOCK_5|G4,0.56,1,0.45,0
BLOCK_1|L9,0.45,0,0.49,0
BLOCK_2|H8,0.47,0,0.47,0
BLOCK_2|H7,0.45,0,0.48,0
BLOCK_4|C3,0.48,0,0.53,1
BLOCK_1|K5,0.57,1,0.4,0
BLOCK_3|C5,0.54,1,0.49,0
BLOCK_2|C2,0.46,0,0.48,0
BLOCK_2|L5,0.56,1,0.53,1
BLOCK_1|L8,0.4,0,0.49,0
BLOCK_3|A9,0.53,1,0.51,1
BLOCK_3|B7,0.43,0,0.45,0
BLOCK_1|L1,0.36,0,0.47,0
BLOCK_1|A4,0.45,0,0.59,1
BLOCK_3|L7,0.59,1,0.43,0
BLOCK_3|F3,0.47,0,0.49,0
BLOCK_5|I2,0.43,0,0.49,0
BLOCK_4|I4,0.48,0,0.47,0
BLOCK_2|F1,0.45,0,0.45,0
BLOCK_2|J9,0.5,1,0.53,1
BLOCK_3|L4,0.33,0,0.37,0
BLOCK_2|D6,0.43,0,0.43,0
BLOCK_5|L5,0.66,1,0.47,0
BLOCK_4|I7,0.29,0,0.41,0
BLOCK_4|L2,0.57,1,0.49,0
BLOCK_2|A6,0.53,1,0.49,0
